:START_ID,:END_ID,:TYPE
country::IND,observation::IND::SL.EMP.WORK.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SL.EMP.VULN.MA.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SL.EMP.TOTL.SP.MA.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SL.EMP.MPYR.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH_UHC_SCI_CAPACITY::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.XPD.PVTD.PC.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.XPD.OOPC.CH.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.XPD.GHED.GD.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::DT.NFL.IFAD.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::DT.DOD.MIBR.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::DT.DOD.DSTC.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::DT.DOD.DIMF.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::DC.DAC.USAL.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::DC.DAC.SVKL.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::DC.DAC.NORL.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::DC.DAC.KORL.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::DC.DAC.IRLL.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::SL.UEM.TOTL.MA.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SL.TLF.ACTI.MA.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SL.TLF.ACTI.1524.MA.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SL.SRV.EMPL.MA.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SL.IND.EMPL.MA.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SL.FAM.WORK.MA.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SL.EMP.VULN.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SL.EMP.SELF.FE.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SL.EMP.1524.SP.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SL.EMP.1524.SP.FE.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SL.AGR.EMPL.FE.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH_UHC_SCI_ID::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.XPD.PVTD.PP.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.XPD.OOPC.PC.CD::2015,HAS_OBSERVATION
